search_str,new_display_name,ch_no
ABC (WABC) New York,ABC (WABC) NEW YORK
CBS (WCBS) New York,CBS (WCBS) NEW YORK
FOX (WNYW) New York,FOX (WNYW) NEW YORK
NBC (WNBC) New York,NBC (WNBC) NEW YORK
PBS (WNET) New York,PBS East
ABC (WABC) New York ,ABC (WABC) NEW YORK
CBS (WCBS) New York ,CBS (WCBS) NEW YORK
FOX (WNYW) New York ,FOX (WNYW) NEW YORK
NBC (WNBC) New York ,NBC (WNBC) NEW YORK
PBS (WNET) New York ,PBS East
FOX,FOX NEWS HD
