search_str,new_display_name,ch_no
Sportsnet 360 FHD,SportsNet 360 FHD,
Sportsnet 360 HD,SportsNet 360 HD,
Sportsnet 360 SD,SportsNet 360 SD,
SportsNet NY FHD,SportsNet New York FHD,639
Sportsnet One FHD,SportsNet One FHD,
Sportsnet One HD,SportsNet One HD,
Sportsnet One SD,SportsNet One SD,
Sportsnet Ontario FHD,SportsNet Ontario FHD,
Sportsnet Ontario HD,SportsNet Ontario HD,
Sportsnet Ontario SD,SportsNet Ontario SD,
Sportsnet Pacific HD,SportsNet Pacific HD,
Sportsnet Pacific SD,SportsNet Pacific SD,
Sportsnet Pittsburgh HD,SportsNet Pittsburgh HD,
Sportsnet Pittsburgh SD,SportsNet Pittsburgh SD,
Sportsnet West,SportsNet West HD,692
Sportsnet West HD,SportsNet West HD,692
Sportsnet West SD,SportsNet West SD,692
Sportsnet World FHD,SportsNet World FHD,
Starz,Starz HD,525
Starz Comedy,Starz Comedy HD,528
STARZ East HD,Starz HD,525
Starz Eastern HD,Starz HD,525
Starz Eastern SD,Starz SD,525
Starz Edge,Starz Edge HD,529
Starz Encore Action,Starz Encore Action HD,541
Starz Encore Westerns,Starz Encore Westerns HD,538
STARZ WEST,Starz,525
SundanceTV,SundanceTV HD,239
SundanceTV HD HD,SundanceTV HD,239
SundanceTV USA East HD,SundanceTV HD,239
SundanceTV USA East SD,SundanceTV SD,239
SYFY,SYFY HD,224
SYFY (Alternate 2),SYFY,224
SYFY (Alternate),SYFY,224
Syfy Eastern Feed HD,SYFY HD,224
Syfy Eastern Feed SD,SYFY SD,224
TBS,TBS HD,247
TBS (Alternate 2),TBS,247
TBS (Alternate),TBS,247
TBS East HD,TBS HD,247
TBS East SD,TBS SD,247
TCM,TCM HD,256
TCM (Alternate),TCM,256
The CW (WPIX New York) HD,CW (WPIX) NEW YORK HD,35
The Movie Channel East HD,TMC HD,553
TLC,TLC HD,280
TLC (Alternate),TLC,280
TLC USA Eastern HD,TLC HD,280
TLC USA Eastern SD,TLC SD,280
TMC (US) Eastern Feed HD,TMC HD,553
TMC (US) Eastern Feed SD,TMC SD,553
TNT,TNT HD,245
TNT (Alternate),TNT,245
TNT Eastern Feed HD,TNT HD,245
TNT Eastern Feed SD,TNT SD,245
Travel Channel,Travel Channel HD,277
Travel US East HD,Travel Channel HD,277
Travel US East SD,Travel Channel SD,277
truTV,truTV HD,246
truTV (Alternate),truTV,246
truTV USA Eastern HD,truTV HD,246
truTV USA Eastern SD,truTV SD,246
TuDiscovery,Discovery Turbo,281
Turner Classic Movies USA HD,TCM HD,256
Turner Classic Movies USA SD,TCM SD,256
TV Land,TV Land HD,304
TV Land Eastern HD,TV Land HD,304
TV Land Eastern SD,TV Land SD,304
TV One HD HD,TV One HD,328
TVG,Fanduel TV,602
TVOne,TV One HD,328
Unbeaten,Unbeaten Sports Channel,
Unbeaten Sports Channel (USA),Unbeaten Sports Channel,
US : CW (WCIU) THE U CHICAGO IL,CW (WPIX) NEW YORK,35
US | A&E,A&E HD,265
US | ABC NEWS LIVE,ABC NEWS LIVE,
US | ACTIONMAX,ActionMax HD,
US | ACTIONMAX WEST,ActionMax,
US | AMC,AMC HD,254
US | AMERICAN HEROES,American Heroes Channel,287
US | ANIMAL PLANET,Animal Planet HD,282
US | ANIMAL PLANET WEST,Animal Planet,282
US | AXS TV,AXS TV,340
US | BBC AMERICA,BBC America HD,264
US | BBC WORLD NEWS,News,
US | BIG TEN NETWORK,Big Ten Network,610
US | BIG TEN NETWORK 2,Big Ten Network 2,
US | BIG TEN NETWORK 3,Big Ten Network 3,
US | BIG TEN NETWORK 4,Big Ten Network 4,
US | BLACK NEWS CHANNEL,News,
US | BOUNCE TV,Bounce XL HD,82
US | CBS SPORTS NETWORK,CBS Sports Network,221
US | CHEDDAR NEWS,News,
US | CINEMAX,Cinemax HD,515
US | CINEMAX WEST,Cinemax,515
US | CNBC,CNBC,355
US | CNN,CNN HD,202
US | CNN INTERNATIONAL,CNN International,
US | COMEDY CENTRAL,Comedy Central HD,249
US | COMEDY CENTRAL WEST,Comedy Central,249
US | COMET,Comet,
US | COOKING CHANNEL,The Cooking Channel HD,232
US | COWBOY CHANNEL,The Cowboy Channel,603
US | COZI TV,COZI TV,80
US | DESTINATION AMERICA,Destination America,286
US | DISCOVERY CHANNEL,Discovery Channel HD,278
US | DISCOVERY CHANNEL WEST,Discovery Channel,278
US | DISCOVERY FAMILY,Discovery Family Channel HD,
US | DISCOVERY LIFE,Discovery Life Channel HD,
US | DISCOVERY SCIENCE,Discovery Science,
US | DISNEY CHANNEL,Disney Channel,290
US | E! ENTERTAINMENT,E! HD,
US | E! WEST,E!,236
US | ESPN,ESPN,206
US | ESPN 2,ESPN2,209
US | ESPN NEWS,ESPN NEWS,207
US | FANDUEL RACING,Fanduel Racing,
US | FETV,FETV HD,323
US | FLIX,FLIX,556
US | FOOD NETWORK,Food Network HD,231
US | FOOD NETWORK WEST,Food Network,231
US | FOX 7 (Austin) | HD,FOX (WNYW) NEW YORK,11
US | FOX BUSINESS,FOX Business,359
US | FOX NEWS CHANNEL,FOX NEWS,360
US | FOX SOUL,FOX Soul,
US | FOX SPORTS 1,FOX Sports 1,219
US | FOX SPORTS 2,FOX Sports 2,618
US | FREEFORM,Freeform HD,311
US | FREEFORM WEST,Freeform,311
US | FUSE,Fuse HD,339
US | FX,FX HD,248
US | FX WEST,FX,248
US | FXM,FX Movie HD,258
US | FXX,FXX HD,259
US | FXX WEST,FXX,259
US | FYI,FYI HD,266
US | GET TV,getTV,83
US | GOLF CHANNEL,Golf Channel HD,218
US | GRIT TV,Grit,81
US | HBO,HBO HD,501
US | HBO 2,HBO 2 HD,
US | HBO 2 WEST, HBO 2,
US | HBO COMEDY,HBO Comedy HD,506
US | HBO SIGNATURE,HBO Signature HD,
US | HBO WEST,HBO,501
US | HBO ZONE,HBO Zone HD,
US | HBO ZONE WEST,HBO Zone,
US | HDNET MOVIES,HDNET,566
US | HGTV,HGTV HD,229
US | HGTV WEST,HGTV,229
US | HISTORY CHANNEL,History HD,269
US | HLN,HLN,204
US | IFC,IFC HD,33
US | INSP,Inspiration,364
US | INVESTIGATION DISCOVERY,Investigation Discovery HD,285
US | INVESTIGATION DISCOVERY WEST,Investigation Discovery,285
US | ION,ION,12
US | LIVENOW FROM FOX,LiveNOW from FOX,
US | MAGNOLIA NETWORK,Magnolia,230
US | MARQUEE SPORTS NETWORK,Marquee Sports Network,664
US | MAV TV,RACER Select,214
US | MAVTV,RACER Select,214
US | ME TV,MeTV,77
US | ME TV PLUS,MeTV Plus,
US | MGM+,MGM+,558
US | MGM+ DRIVE IN,MGM+ Drive-In,
US | MGM+ HITS,MGM+ Hits,559
US | MGM+ MARQUEE,MGM+ Marqee,560
US | MLB NETWORK,MLB Network,213
US | MLB STRIKEZONE,MLB Strikezone,719
US | MOREMAX WEST/Cinemax Hits,MoreMAX,
US | MOREMAX/Cinemax Hits,MoreMAX HD,
US | MOTORTREND,Discovery Turbo,281
US | MSG,MSG,634
US | MSG 2,MSG 2,
US | MSG 2 PLUS,MSG 2 Plus,
US | MSG PLUS,MSG Plus HD,
US | NAT GEO,National Geographic HD,276
US | NAT GEO WILD,National Geographic Wild HD,283
US | NBA TV,NBA TV HD,216
US | NBC NEWS NOW,NBC NEWS NOW,
US | NBCSN,NCB Sports Now,
US | NEWS 12 BROOKLYN,News,
US | NEWS 12 LONGISLAND,News,
US | NEWS12 BRONX(NYC),News,
US | NEWS12 HUDSSON,News,
US | NEWSMAX TV,News,
US | NEWSNATION,News,
US | NEWSY,News,
US | ONE AMERICAN NEWS NETWORK,News,
US | OUTDOOR CHANNEL,Outdoor Channel HD,606
US | OUTSIDE TV,Outside TV,
US | OVATION,Ovation,274
US | PARAMOUNT,Paramount Network,241
US | PIXL,Pixl,
US | POP,Pop TV,273
US | PURSUIT CHANNEL,Pursuit Channel,604
US | REELZ,ReelzChannel HD,238
US | RT NEWS AMERICA,News,
US | SHOWTIME,Showtime HD,545
US | SHOWTIME 2,Showtime 2 HD,547
US | SHOWTIME 2 WEST,Showtime 2,547
US | SHOWTIME EXTREME,Showtime Extreme HD,549
US | SHOWTIME EXTREME WEST,Showtime Extreme,549
US | SHOWTIME FAMILY ZONE,Showtime Family Zone HD,552
US | SHOWTIME FAMILY ZONE WEST,Showtime Family Zone,552
US | SHOWTIME NEXT,Showtime Next HD,
US | SHOWTIME NEXT WEST,Showtime Next,
US | SHOWTIME SHOWCASE,Showtime Showcase HD,550
US | SHOWTIME SHOWCASE WEST,Showtime Showcase,550
US | SHOWTIME WEST,Showtime,545
US | SHOWTIME WOMEN,Showtime Women HD,
US | SHOWTIME WOMEN WEST,Showtime Women,
US | SMITHSONIAN CHANNEL,Smithsonian HD,570
US | SMITHSONIAN CHANNEL WEST,Smithsonian,570
US | SONY MOVIE CHANNEL,Sony Movie Channel,568
US | SPORTSMAN CHANNEL,Sportsman Channel,605
US | STARZ,Starz HD,525
US | STARZ CINEMA,Starz Cinema,531
US | STARZ COMEDY,Starz Comedy HD,528
US | STARZ COMEDY WEST,Starz Comedy,528
US | STARZ EDGE,Starz Edge HD,529
US | STARZ EDGE WEST,Starz Edge,529
US | STARZ ENCORE,Starz Encore HD,535
US | STARZ ENCORE ACTION,Starz Encore Action HD,541
US | STARZ ENCORE ACTION WEST,Starz Encore Action,541
US | STARZ ENCORE CLASSIC,Starz Encore Classic HD,537
US | STARZ ENCORE CLASSIC WEST,Starz Encore Classic,537
US | STARZ ENCORE FAMILY,Starz Encore Family,542
US | STARZ ENCORE SUSPENSE,Starz Encore Suspense HD,539
US | STARZ ENCORE SUSPENSE WEST,Starz Encore Suspense,539
US | STARZ ENCORE WEST,Starz Encore,535
US | STARZ ENCORE WESTERNS,Starz Encore Westerns HD,538
US | STARZ ENCORE WESTERNS WEST,Starz Encore Westerns,538
US | STARZ KIDS & FAMILY,Starz Kids & Family,527
US | STARZ WEST,Starz,525
US | SUNDANCE,SundanceTV HD,239
US | SYFY,SYFY HD,224
US | SYFY WEST,SYFY,224
US | TBS,TBS HD,247
US | TBS WEST,TBS,247
US | TCM,TCM HD,256
US | TLC,TLC HD,280
US | TLC WEST,TLC,280
US | TNT,TNT HD,245
US | TNT WEST,TNT,245
US | TRAVEL CHANNEL,Travel Channel HD,277
US | TRAVEL CHANNEL WEST,Travel Channel,277
US | TRAVEL CHANNEL WEST,Travel Channel HD,277
US | TRU TV,truTV HD,246
US | TRU TV WEST,truTV,246
US | TV LAND,TV Land HD,304
US | TV LAND WEST,TV Land,304
US | TV ONE,TV One HD,328
US | UP TV, UP TV,
US | USA NETWORK,USA Network HD,242
US | USA NETWORK WEST,USA Network,242
US | VICE,VICE HD,271
US ABC 12 (WJRT) Flint/Saginaw/Bay City,ABC (WABC) NEW YORK,7
US CW 13 (KYLX) Laredo (H),CW (KTLA) LOS ANGELES,34
US CW 15 (WCWN) Albany,CW (WPIX) NEW YORK,35
US CW 19 (WPCW) Jeannette,CW (WPIX) NEW YORK,35
US CW 20 (WCWG) Greensboro (H),CW (WPIX) NEW YORK,35
US CW 21 (WTTO) Birmingham,CW (WPIX) NEW YORK,35
US CW 22 (WBMM) Montgomery (H),CW (WPIX) NEW YORK,35
US CW 22 (WLFL) Raleigh,CW (WPIX) NEW YORK,35
US CW 29 (KCWE) Kansas City (H),CW (KTLA) LOS ANGELES,34
US CW 35 (KMYS) San Antonio,CW (KTLA) LOS ANGELES,34
US CW 38 (WSWB) Wilkes-Barre,CW (WPIX) NEW YORK,35
US CW 39 (WSFL-TV) South Florida,CW (WPIX) NEW YORK,35
US CW 44 (WTOG) St. Petersburg (H),CW (WPIX) NEW YORK,35
US CW 5 (KESQ-DT8) Palm Springs (H),CW (KTLA) LOS ANGELES,34
US CW 50 (WKBD) Detroit,CW (WPIX) NEW YORK,35
US CW 53 (WWHO) Columbus,CW (WPIX) NEW YORK,35
US CW 56 (WLVI) Boston (H),CW (WPIX) NEW YORK,35
US CW 58 (WBKI-DT) Louisville (H),CW (WPIX) NEW YORK,35
US CW 58 (WNAB) Nashville,CW (WPIX) NEW YORK,35
US CW 8 (KNOE-DT2) MonroeÃ¢â‚¬â€œEl Dorado (H),CW (KTLA) LOS ANGELES,34
US CW 8 (KPAX) Missoula (H),CW (KTLA) LOS ANGELES,34
US CW-KFMBTV2,CW (KTLA) LOS ANGELES,34
US FOX 6 (WBRC) Birmingham (A),FOX (WNYW) NEW YORK,11
US NBC 10 (KTTC) Rochester,NBC (KNBC) LOS ANGELES,8
US NBC 10 (KTVE) El Dorado,NBC (KNBC) LOS ANGELES,8
US NBC 10 (WALB) Albany,NBC (WNBC) NEW YORK,9
US NBC 10 (WAVY) Portsmouth,NBC (WNBC) NEW YORK,9
US NBC 10 (WGEM) Quincy,NBC (WNBC) NEW YORK,9
US NBC 10 (WILX) Onondaga,NBC (WNBC) NEW YORK,9
US NBC 10 (WSLS) Roanoke,NBC (WNBC) NEW YORK,9
US NBC 11 (KKCO) Grand Junction,NBC (KNBC) LOS ANGELES,8
US NBC 11 (KTVF) Fairbanks,NBC (KNBC) LOS ANGELES,8
US NBC 11 (KVLY) Fargo,NBC (KNBC) LOS ANGELES,8
US NBC 12 (KTGF) Great Falls,NBC (KNBC) LOS ANGELES,8
US NBC 12 (KTVH) Helena,NBC (KNBC) LOS ANGELES,8
US NBC 12 (WICU) Erie,NBC (WNBC) NEW YORK,9
US NBC 12 (WJFW) Rhinelander,NBC (WNBC) NEW YORK,9
US NBC 12 (WSFA) Montgomery,NBC (WNBC) NEW YORK,9
US NBC 12 (WWBT) Richmond,NBC (WNBC) NEW YORK,9
US NBC 13 (KCHY) Casper,NBC (KNBC) LOS ANGELES,8
US NBC 13 (KCWY) Casper,CW (KTLA) LOS ANGELES,34
US NBC 13 (KCWY) Casper,NBC (KNBC) LOS ANGELES,8
US NBC 13 (KECI) Missoula,NBC (KNBC) LOS ANGELES,8
US NBC 13 (KTVM) Montana,NBC (KNBC) LOS ANGELES,8
US NBC 13 (KYMA) Yuma,NBC (KNBC) LOS ANGELES,8
US NBC 13 (WEAU) Eau claire,NBC (WNBC) NEW YORK,9
US NBC 13 (WNYT) Albany,NBC (WNBC) NEW YORK,9
US NBC 13 (WREX) Rockford,NBC (WNBC) NEW YORK,9
US NBC 13 (WRGX) Dothan,NBC (WNBC) NEW YORK,9
US NBC 14 (WFIE) Evansville,NBC (WNBC) NEW YORK,9
US NBC 16 (KMTR) Eugene,NBC (KNBC) LOS ANGELES,8
US NBC 16 (WNDU) South bend,NBC (WNBC) NEW YORK,9
US NBC 17 (KGET) Bakersfield,NBC (KNBC) LOS ANGELES,8
US NBC 17 (KMOL) Victoria,NBC (KNBC) LOS ANGELES,8
US NBC 17 (WAND) Decatur,NBC (WNBC) NEW YORK,9
US NBC 18 (WHIZ) Zanesville,NBC (WNBC) NEW YORK,9
US NBC 18 (WLEX) Lexington,NBC (WNBC) NEW YORK,9
US NBC 19 (WVGN) Virgin Islands,NBC (WNBC) NEW YORK,9
US NBC 2 (KNOP) North Platte,NBC (KNBC) LOS ANGELES,8
US NBC 2 (WCBD) Charleston,NBC (WNBC) NEW YORK,9
US NBC 2 (WDTN) Dayton,NBC (WNBC) NEW YORK,9
US NBC 2 (WKTV) Utica,NBC (WNBC) NEW YORK,9
US NBC 2 (WTWO) Terre Haute,NBC (WNBC) NEW YORK,9
US NBC 20 (WBGH) Binghamton,NBC (WNBC) NEW YORK,9
US NBC 21 (KTVZ) Bend,NBC (KNBC) LOS ANGELES,8
US NBC 21 (WFMJ) Youngstown,NBC (WNBC) NEW YORK,9
US NBC 22 (WWLP) Springfield,NBC (WNBC) NEW YORK,9
US NBC 23 (KVEO) Brownsville,NBC (KNBC) LOS ANGELES,8
US NBC 24 (WNWO) Toledo,NBC (WNBC) NEW YORK,9
US NBC 25 (WEEK) Peoria,NBC (WNBC) NEW YORK,9
US NBC 25 (WXXV) Gulfport,NBC (WNBC) NEW YORK,9
US NBC 27 (KSNT) Topeka,NBC (KNBC) LOS ANGELES,8
US NBC 28 (WBRE) Wilkes-barre,NBC (WNBC) NEW YORK,9
US NBC 29 (WVIR) Charlottesville,NBC (WNBC) NEW YORK,9
US NBC 3 (KIEM) Eureka,NBC (KNBC) LOS ANGELES,8
US NBC 3 (KYTV) Springfield,NBC (KNBC) LOS ANGELES,8
US NBC 3 (WAVE) Louisville,NBC (WNBC) NEW YORK,9
US NBC 3 (WLBT) Jackson,NBC (WNBC) NEW YORK,9
US NBC 3 (WSAV) Savannah,NBC (WNBC) NEW YORK,9
US NBC 32 (WMBF) Myrtle beach,NBC (WNBC) NEW YORK,9
US NBC 32 (WVLA) Baton Rouge,NBC (WNBC) NEW YORK,9
US NBC 36 (KXAN) Austin,NBC (KNBC) LOS ANGELES,8
US NBC 38 (WLTZ) Columbus,NBC (WNBC) NEW YORK,9
US NBC 39 (WNBJ) Jackson,NBC (WNBC) NEW YORK,9
US NBC 4 (KAMR) Amarillo,NBC (KNBC) LOS ANGELES,8
US NBC 4 (KARK) Little rock,NBC (KNBC) LOS ANGELES,8
US NBC 4 (KFOR) Oklahoma City,NBC (KNBC) LOS ANGELES,8
US NBC 4 (KOB) Albuquerque,NBC (KNBC) LOS ANGELES,8
US NBC 4 (KSNB) Superior,NBC (KNBC) LOS ANGELES,8
US NBC 4 (KTIV) Sioux city,NBC (KNBC) LOS ANGELES,8
US NBC 4 (WOAI) San Antonio,NBC (WNBC) NEW YORK,9
US NBC 40 40 (WNKY) Bowling Green,NBC (WNBC) NEW YORK,9
US NBC 41 (KSHB) Kansas city,NBC (KNBC) LOS ANGELES,8
US NBC 45 (WVNC) Watertown,NBC (WNBC) NEW YORK,9
US NBC 46 (KDLT) Sioux falls,NBC (KNBC) LOS ANGELES,8
US NBC 46 (KLAF) Lafayette,NBC (KNBC) LOS ANGELES,8
US NBC 48 (WAFF) Huntsville,NBC (WNBC) NEW YORK,9
US NBC 5 (KALB) Louisiana,NBC (KNBC) LOS ANGELES,8
US NBC 5 (KFYR) Bismarck,NBC (KNBC) LOS ANGELES,8
US NBC 5 (WCYB) Bristol,NBC (WNBC) NEW YORK,9
US NBC 5 (WPTZ) Plattsburgh,NBC (WNBC) NEW YORK,9
US NBC 56 (KETK) Jacksonville,NBC (KNBC) LOS ANGELES,8
US NBC 6 (KHQ) Spokane,NBC (KNBC) LOS ANGELES,8
US NBC 6 (KMIR) Palm Springs,NBC (KNBC) LOS ANGELES,8
US NBC 6 (KPVI) Pocatello,NBC (KNBC) LOS ANGELES,8
US NBC 6 (KRIS) Corpus christi,NBC (KNBC) LOS ANGELES,8
US NBC 6 (KTAL) Texarkana,NBC (KNBC) LOS ANGELES,8
US NBC 6 (WDSU) New orleans,NBC (WNBC) NEW YORK,9
US NBC 6 (WECT) Wilmington,NBC (WNBC) NEW YORK,9
US NBC 6 (WLUC) Marquette,NBC (WNBC) NEW YORK,9
US NBC 7 (KPLC) Lake Charles,NBC (KNBC) LOS ANGELES,8
US NBC 7 (KTFT) Boise,NBC (KNBC) LOS ANGELES,8
US NBC 7 (KWWL) Waterloo,NBC (KNBC) LOS ANGELES,8
US NBC 7 (WDAM) Hattiesburg,NBC (WNBC) NEW YORK,9
US NBC 7 (WITN) Washington,NBC (WNBC) NEW YORK,9
US NBC 7 (WJHG) Panama city,NBC (WNBC) NEW YORK,9
US NBC 8 (KAIT) Jonesboro,NBC (KNBC) LOS ANGELES,8
US NBC 8 (KGNS) Laredo,NBC (KNBC) LOS ANGELES,8
US NBC 8 (KSBW) Salinas,NBC (KNBC) LOS ANGELES,8
US NBC 8 (WGAL) Lancaster,NBC (WNBC) NEW YORK,9
US NBC 8 (WLIO) Lima,NBC (WNBC) NEW YORK,9
US NBC 9 (KRBC) Abilene,NBC (KNBC) LOS ANGELES,8
US NBC 9 (KTSM) El paso,NBC (KNBC) LOS ANGELES,8
US NBC 9 (WNBW) Gainesville,NBC (WNBC) NEW YORK,9
US NBC 9 (WTOV) Steubenville,NBC (WNBC) NEW YORK,9
US: FOX 10 (Phoenix) | HD,FOX (KTTV) LOS ANGELES,10
US: NESN UHD,NESN UHD,628
USA | CBS 13 Sacramento HD,CBS (KCBS) LOS ANGELES,2
USA | CBS 4 St. Louis HD,CBS (WCBS) NEW YORK,3
USA | CBS 5 Phoenix HD,CBS (KCBS) LOS ANGELES,2
USA Network,USA Network HD,242
USA Network East Feed HD,USA Network HD,242
USA Network East Feed SD,USA Network SD,242
Vice,VICE HD,271
VICE (USA),VICE HD,271
Vice Entertainment,VICE HD,271
WABC (New York) ABC East HD,ABC (WABC) NEW YORK HD,7
WBFF FOX45 Baltimore MD,FOX (WNYW) NEW YORK,11
WCBS (New York) CBS East HD,CBS (WCBS) NEW YORK HD,3
WLTX CBS 19 Columbia SC,CBS (WCBS) NEW YORK,3
WMAZ CBS 13 Macon GA,CBS (WCBS) NEW YORK,3
WNBC (New York) NBC East HD,NBC (WNBC) NEW YORK,9
WNYW (New York) FOX East HD,FOX (WNYW) NEW YORK HD,11
WPIX New York (SUPERSTATION) HD,CW (WPIX) NEW YORK HD,35
WPIX New York (SUPERSTATION) SD,CW (WPIX) NEW YORK SD,35
WPMT FOX43 Harrisburg PA,FOX (WNYW) NEW YORK,11
WTSP CBS 10 Tampa Bay FL,CBS (WCBS) NEW YORK,3
WTVD ABC11 24/7 Streaming Channel,ABC (WABC) NEW YORK,7
WUSA CBS 9 Washington DC,CBS (WCBS) NEW YORK,3
WWL CBS 4 New Orleans LA,CBS (WCBS) NEW YORK,3
WZDX FOX54 Huntsville AL,FOX (WNYW) NEW YORK,11
YES NETWORK,Yes Network HD,631
YES Network,Yes Network HD,631
